epoch,loss,val_loss
21,20.142492294311523,8.254047393798828
22,16.04551124572754,6.465954303741455
23,6.648881435394287,6.266160488128662
24,6.5735392570495605,6.139827728271484
25,6.634161472320557,6.105088710784912
26,6.456709861755371,6.089384078979492
27,6.5791120529174805,6.12006139755249
28,6.43662166595459,6.0152106285095215
29,6.520379066467285,6.025649070739746
30,6.288697719573975,5.895898342132568
31,6.250454902648926,5.873632431030273
32,6.246238708496094,5.857285976409912
33,6.227706432342529,5.83291482925415
34,6.162809371948242,5.726235389709473
35,6.047924041748047,5.537787914276123
